Handle,Image Src
dry-eye-starter-basket-omega-3-cleanser,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/dry-eye-starter-basket-hero.png
90-day-dry-eye-relief-basket-omega-3-supply,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/prn-omega-front.png
bruder-mask-moist-heat-dry-eye-compress-microwavable,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/bruder-mask-single.png
bruder-moist-heat-eye-compress-single,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/bruder-mask-single.png
