Handle,Option1 Value,Variant Price,Variant Compare At Price,Variant Image
prn-de3-dry-eye-omega-benefits-90-180-270ct-1-3-month-supply,90ct 1 Month,54.00,59.99,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/prn-omega-front.png
prn-de3-dry-eye-omega-benefits-90-180-270ct-1-3-month-supply,180ct 2 Month Supply,108.00,119.99,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/prn-omega-front.png
prn-de3-dry-eye-omega-benefits-90-180-270ct-1-3-month-supply,270ct 3 Month,162.00,169.99,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/prn-omega-front.png
